method name, index construction time (s), index size (MB),,,,,,,
BFS,1.06,81.68,,,,,,,
LandmarkedIndex23(oE)-k=2185-b=20,5_887.34,33_930.80,,,,,,,
,,,,,,,,,
,,,,,,,,,
BFS_queryset-0,BFS_queryset-1,BFS_queryset-2,LandmarkedIndex23(oE)-k=2185-b=20_queryset-0,LandmarkedIndex23(oE)-k=2185-b=20_queryset-1,LandmarkedIndex23(oE)-k=2185-b=20_queryset-2,,,,
0.0367387136,0.0640526613,0.0222733021,0.000023365,5.00679E-006,5.00679E-006,,1572.3810028838,12793.159139888,4448.6191891412
0.0074659983,0.0231963793,0.0046219031,2.026557E-005,4.60942E-006,3.89417E-006,,368.4080107295,5032.3857101327,1186.8775888058
0.0497186184,0.0671706994,0.0043622653,1.994768E-005,4.68889E-006,0.000004371,,2492.4511717653,14325.501223104,998.0016609472
0.0191896756,0.0475664139,0.0433229605,1.93119E-005,5.00679E-006,0.000004371,,993.6710339221,9500.381256254,9911.45287806
0.0256097317,0.0288996696,0.0298253695,1.962979E-005,1.358985E-005,4.05311E-006,,1304.6360490866,2126.5628126874,7358.6380606497
0.0418670177,0.0575909615,0.0409235954,5.96046E-006,1.335144E-005,4.29153E-006,,7024.125275566,4313.4644240621,9535.8987167747
0.04216067,0.0207916896,0.005155007,5.96046E-006,1.366933E-005,4.68889E-006,,7073.3919798136,1521.0467191881,1099.4088238368
0.0079533259,0.0749087334,0.009156545,5.96046E-006,1.398722E-005,5.00679E-006,,1334.3476677975,5355.512629386,1828.8254550321
0.0319066048,0.0695530574,0.0163102945,5.00679E-006,1.398722E-005,4.29153E-006,,6372.66687039,4972.6148119498,3800.577989668
0.0249226093,0.0680086613,0.0084909598,5.96046E-006,1.430511E-005,0.000004371,,4181.3231394892,4754.1515773035,1942.5668725692
0.0226059755,0.0654040178,0.0154898961,5.96046E-006,1.430511E-005,5.32468E-006,,3792.6561808988,4572.073738685,2909.0754993727
0.0204132398,0.0678963661,0.0086420377,5.96046E-006,1.335144E-005,5.00679E-006,,3424.7759048798,5085.3215915287,1726.0635457049
