DGraph fileName=experiments/graphs/synthetic/PA/exp/V5kD2L8exp.edge,,,,,,,Speed-up (exp),Speed-up (norm),Speed-up (uni),,Difficulty (exp),Difficulty (norm),Difficulty (uni),,,Speed-up (D3),Speed-up (D4),Speed-up (D5),,,,,
(1180,190),9.52,3623,3623,,,8.3,2.65,2.3,,3617,2966,2929,,,7.02,6.59,6.24,,,21895,23651,24373
(1982,190),8.2,3623,3623,,,8.3,2.66,2.31,,3618,2966,2929,,,7.06,6.61,6.27,,,21895,23651,24373
(3033,245),10.97,3639,3639,,,8.35,2.66,2.33,,3618,2967,2930,,,7.07,6.63,6.29,,,21932,23662,24373
(972,231),9.93,3645,3645,,,8.43,2.7,2.36,,3618,2967,2939,,,7.09,6.68,6.3,,,21932,23662,24373
(2465,235),10.2,3601,3601,,,8.62,2.72,2.37,,3618,3030,2939,,,7.1,6.68,6.31,,,21932,23662,24373
(207,250),9,3576,3576,,,8.62,2.73,2.37,,3618,3031,2939,,,7.12,6.69,6.34,,,21933,23662,24373
(274,246),10.38,3604,3604,,,8.66,2.73,2.4,,3618,3032,2940,,,7.13,6.69,6.34,,,21938,23662,24373
(1455,237),9.76,3594,3594,,,8.75,2.75,2.43,,3618,3032,2940,,,7.2,6.71,6.35,,,21938,23662,24374
(111,159),7.34,3671,3671,,,8.75,2.8,2.46,,3619,3033,2940,,,7.23,6.73,6.37,,,21938,23667,24374
(4364,250),9.38,3576,3576,,,8.97,2.8,2.5,,3620,3035,2944,,,7.25,6.73,6.38,,,21938,23667,24374
(2522,238),9.68,3568,3568,,,9,2.8,2.51,,3623,3078,2944,,,7.26,6.73,6.39,,,21939,23667,24374
(1058,231),9.87,3649,3649,,,9.04,2.81,2.53,,3623,3078,2945,,,7.3,6.74,6.43,,,21939,23697,24374
(2872,250),6.33,3576,3576,,,9.06,2.82,2.53,,3623,3078,2948,,,7.33,6.74,6.44,,,21943,23697,24376
(4011,252),9.7,3563,3563,,,9.08,2.83,2.54,,3623,3078,2950,,,7.34,6.75,6.46,,,21944,23702,24376
(1399,249),10.34,3596,3596,,,9.13,2.87,2.63,,3624,3078,2951,,,7.37,6.76,6.49,,,21956,23702,24376
(3883,175),6.91,3637,3637,,,9.24,2.94,2.63,,3624,3080,2952,,,7.46,6.8,6.53,,,21956,23702,24384
(1957,235),10.83,3601,3601,,,9.38,2.94,2.67,,3626,3081,2952,,,7.49,6.81,6.53,,,21956,23702,24384
(3180,190),9.98,3623,3623,,,9.38,2.95,2.7,,3628,3114,2953,,,7.52,6.84,6.55,,,21957,23702,24384
(1972,237),4.48,3593,3593,,,9.46,2.95,2.7,,3628,3114,2955,,,7.54,6.86,6.63,,,21959,23711,24384
(3507,159),8.13,3672,3672,,,9.47,3,2.74,,3629,3114,2956,,,7.62,6.87,6.64,,,21959,23711,24384
(1901,252),6.93,3563,3563,,,9.52,3.04,2.78,,3632,3114,2958,,,7.67,6.87,6.67,,,21972,23711,24389
(1079,207),7.32,3640,3640,,,9.61,3.06,2.8,,3633,3114,2959,,,7.69,6.89,6.68,,,21972,23733,24389
(727,159),10.98,3671,3671,,,9.68,3.1,2.8,,3637,3115,2968,,,7.71,6.9,6.69,,,21972,23733,24389
